variable_name,variable_type,role,gender_specific
sec_amenorrhea1,categorical,feature,female
ever_preg1,categorical,feature,female
miscarried1,categorical,feature,female
total_fertility1,categorical,feature,female
childmortality1,categorical,feature,female
man_decides1,categorical,feature,female
refuse_sex1,categorical,feature,female
wife_expresses1,categorical,feature,female
wife_decides1,categorical,feature,female
wife_tolerates1,categorical,feature,female
beat_refusingsex1,categorical,feature,female
polygamous1,categorical,feature,male
