Target,Feature_Rank,Feature
kessler_dummy2,1,akan1
kessler_dummy2,2,emp_stat1
kessler_dummy2,3,workdays_per_week1
kessler_dummy2,4,alert_community1
kessler_dummy2,5,radio_listening1
kessler_dummy2,6,outtrans_yn1
kessler_dummy2,7,big5open_score1
kessler_dummy2,8,childmortality1
kessler_dummy2,9,yr_elec_ntnlgrid1
kessler_dummy2,10,big5neurotic_score1
kessler_dummy2,11,trusted_community1
kessler_dummy2,12,helpful_community1
kessler_dummy2,13,refuse_sex1
kessler_dummy2,14,labor_community1
kessler_dummy2,15,wife_decides1
kessler_dummy2,16,elec_ntnlgrid1
kessler_dummy2,17,elec_com_cntd1
kessler_dummy2,18,total_fertility1
kessler_dummy2,19,elec_com_days1
kessler_dummy2,20,region_old1
kessler_dummy3,1,savings_yn1
kessler_dummy3,2,wealth1
kessler_dummy3,3,shared_dwelling1
kessler_dummy3,4,happy_life1
kessler_dummy3,5,borrow_yn1
kessler_dummy3,6,ladderlife_gh1
kessler_dummy3,7,rur_primsec1
kessler_dummy3,8,elec_com_cntd1
kessler_dummy3,9,big5neurotic_score1
kessler_dummy3,10,trusted_community1
kessler_dummy3,11,helpful_community1
kessler_dummy3,12,alert_community1
kessler_dummy3,13,labor_community1
kessler_dummy3,14,yr_elec_ntnlgrid1
kessler_dummy3,15,elec_com_days1
kessler_dummy3,16,big5extrav_score1
kessler_dummy3,17,region_old1
kessler_dummy3,18,sleeping_time1
kessler_dummy3,19,workdays_per_week1
kessler_dummy3,20,kids_care1
kessler_dummy4,1,savings_yn1
kessler_dummy4,2,errands1
kessler_dummy4,3,improved_tf_w11
kessler_dummy4,4,wealth1
kessler_dummy4,5,prop_U181
kessler_dummy4,6,alert_community1
kessler_dummy4,7,age_yrs1
kessler_dummy4,8,yr_elec_ntnlgrid1
kessler_dummy4,9,big5agreeable_score1
kessler_dummy4,10,big5neurotic_score1
kessler_dummy4,11,trusted_community1
kessler_dummy4,12,helpful_community1
kessler_dummy4,13,labor_community1
kessler_dummy4,14,elec_ntnlgrid1
kessler_dummy4,15,elec_com_days1
kessler_dummy4,16,elec_com_cntd1
kessler_dummy4,17,big5consc_score1
kessler_dummy4,18,region_old1
kessler_dummy4,19,sleeping_time1
kessler_dummy4,20,workdays_per_week1
