Target,Model,Feature_Rank,Feature,Importance
kessler_dummy2,random_forest,1,akan1,0.07329881661418206
kessler_dummy2,random_forest,2,radio_listening1,0.04850476543510743
kessler_dummy2,random_forest,3,age_sq_1001,0.038232968495244324
kessler_dummy2,random_forest,4,big5consc_score1,0.037658754599583524
kessler_dummy2,random_forest,5,age_yrs1,0.03643637108493253
kessler_dummy2,random_forest,6,emp_stat1,0.036059190718844086
kessler_dummy2,random_forest,7,big5agreeable_score1,0.035577743263176045
kessler_dummy2,random_forest,8,workdays_per_week1,0.03177246036080221
kessler_dummy2,random_forest,9,savings_yn1,0.03017077229742355
kessler_dummy2,random_forest,10,bmi1,0.029639515412379306
kessler_dummy2,random_forest,11,big5extrav_score1,0.02868490904549892
kessler_dummy2,random_forest,12,height1,0.028405440860317502
kessler_dummy2,random_forest,13,big5neurotic_score1,0.02789218519608627
kessler_dummy2,random_forest,14,age_married1,0.027603820652526354
kessler_dummy2,random_forest,15,elec_ntnlgrid1,0.0267692382662408
kessler_dummy2,random_forest,16,big5open_score1,0.02664622224833059
kessler_dummy2,random_forest,17,work_mother1,0.022361370787269616
kessler_dummy2,random_forest,18,region_old1,0.02208111378344748
kessler_dummy2,random_forest,19,hh_size1,0.021752885856661065
kessler_dummy2,random_forest,20,alert_community1,0.02150439240523781
