Target,Model,Feature Rank,Feature,Importance
kessler_dummy2,random_forest_with_rfe,1,akan1,0.07329881661418206
kessler_dummy2,random_forest_with_rfe,2,radio_listening1,0.04850476543510743
kessler_dummy2,random_forest_with_rfe,3,age_sq_1001,0.038232968495244324
kessler_dummy2,random_forest_with_rfe,4,big5consc_score1,0.037658754599583524
kessler_dummy2,random_forest_with_rfe,5,age_yrs1,0.03643637108493253
kessler_dummy2,random_forest_with_rfe,6,emp_stat1,0.036059190718844086
kessler_dummy2,random_forest_with_rfe,7,big5agreeable_score1,0.035577743263176045
kessler_dummy2,random_forest_with_rfe,8,workdays_per_week1,0.03177246036080221
kessler_dummy2,random_forest_with_rfe,9,savings_yn1,0.03017077229742355
kessler_dummy2,random_forest_with_rfe,10,bmi1,0.029639515412379306
kessler_dummy2,random_forest_with_rfe,11,big5extrav_score1,0.02868490904549892
kessler_dummy2,random_forest_with_rfe,12,height1,0.028405440860317502
kessler_dummy2,random_forest_with_rfe,13,big5neurotic_score1,0.02789218519608627
kessler_dummy2,random_forest_with_rfe,14,age_married1,0.027603820652526354
kessler_dummy2,random_forest_with_rfe,15,elec_ntnlgrid1,0.0267692382662408
kessler_dummy2,random_forest_with_rfe,16,big5open_score1,0.02664622224833059
kessler_dummy2,random_forest_with_rfe,17,work_mother1,0.022361370787269616
kessler_dummy2,random_forest_with_rfe,18,region_old1,0.02208111378344748
kessler_dummy2,random_forest_with_rfe,19,hh_size1,0.021752885856661065
kessler_dummy2,random_forest_with_rfe,20,alert_community1,0.02150439240523781
kessler_dummy3,random_forest_with_rfe,1,wealth1,0.04719522760191681
kessler_dummy3,random_forest_with_rfe,2,prop_U181,0.04187555846025964
kessler_dummy3,random_forest_with_rfe,3,big5consc_score1,0.04068366985746898
kessler_dummy3,random_forest_with_rfe,4,savings_yn1,0.03844996455371372
kessler_dummy3,random_forest_with_rfe,5,age_sq_1001,0.03824714961011003
kessler_dummy3,random_forest_with_rfe,6,age_yrs1,0.03770341034261751
kessler_dummy3,random_forest_with_rfe,7,big5open_score1,0.0360142600310627
kessler_dummy3,random_forest_with_rfe,8,height1,0.03353068213815251
kessler_dummy3,random_forest_with_rfe,9,big5extrav_score1,0.03296101153137794
kessler_dummy3,random_forest_with_rfe,10,big5neurotic_score1,0.032247188192777484
kessler_dummy3,random_forest_with_rfe,11,big5agreeable_score1,0.031734897186835836
kessler_dummy3,random_forest_with_rfe,12,bmi1,0.03126762813105826
kessler_dummy3,random_forest_with_rfe,13,age_married1,0.03035895970928612
kessler_dummy3,random_forest_with_rfe,14,tv_watching1,0.029399778316158972
kessler_dummy3,random_forest_with_rfe,15,hh_size1,0.029228375934475623
kessler_dummy3,random_forest_with_rfe,16,ladderlife_com1,0.02481628838059715
kessler_dummy3,random_forest_with_rfe,17,educ1,0.02407811788411835
kessler_dummy3,random_forest_with_rfe,18,shared_dwelling1,0.02307195263374103
kessler_dummy3,random_forest_with_rfe,19,ladderlife_gh1,0.022712482165976197
kessler_dummy3,random_forest_with_rfe,20,region_old1,0.022437411546400776
kessler_dummy4,random_forest_with_rfe,1,big5extrav_score1,0.03984977375633937
kessler_dummy4,random_forest_with_rfe,2,wealth1,0.03960303269658118
kessler_dummy4,random_forest_with_rfe,3,savings_yn1,0.03859133755599984
kessler_dummy4,random_forest_with_rfe,4,big5agreeable_score1,0.0357107767833865
kessler_dummy4,random_forest_with_rfe,5,age_yrs1,0.035414851227363923
kessler_dummy4,random_forest_with_rfe,6,age_sq_1001,0.034508055993088954
kessler_dummy4,random_forest_with_rfe,7,big5open_score1,0.0342130477129652
kessler_dummy4,random_forest_with_rfe,8,prop_hh_nhis1,0.034184749557710815
kessler_dummy4,random_forest_with_rfe,9,big5consc_score1,0.03314360467425671
kessler_dummy4,random_forest_with_rfe,10,age_married1,0.03292931573896644
kessler_dummy4,random_forest_with_rfe,11,improved_tf_w11,0.032359368687474445
kessler_dummy4,random_forest_with_rfe,12,big5neurotic_score1,0.03184893218579452
kessler_dummy4,random_forest_with_rfe,13,bmi1,0.03127558099957515
kessler_dummy4,random_forest_with_rfe,14,height1,0.03051544612216349
kessler_dummy4,random_forest_with_rfe,15,prop_U181,0.029257457730138894
kessler_dummy4,random_forest_with_rfe,16,errands1,0.02898653454941768
kessler_dummy4,random_forest_with_rfe,17,educ1,0.027951494440142267
kessler_dummy4,random_forest_with_rfe,18,ladderlife_com1,0.026666595121618734
kessler_dummy4,random_forest_with_rfe,19,hh_size1,0.02567548160245946
kessler_dummy4,random_forest_with_rfe,20,kids_care1,0.02236121543653518
